Publication Title
Biophysical Journal
Biophysical Journal
Journal of the Optical Society of America
Biophysical Journal
Biophysical Journal
Biophysical Journal
Biophysical Journal
Biophysical Journal
Biophysical Journal
Biophysical Journal
Biophysical Journal
Neuron
Methods
Reports on Progress in Physics
Applied Optics
Science
Soft Matter
Proceedings of the National Academy of Sciences
Optics Letters
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Journal of Biomedical Optics

Nano Letters
Nature Methods
Applied Optics
Applied Optics
Applied Optics
Biopolymers
Biopolymers
Biomedical Optics Express
Soft Matter
NanoBioImaging
ChemPhysChem
Annual Review of Biophysics
Physical Review Letters
Nature Photonics
Environmental Science & Technology
Journal of Biophotonics

Computer Science Education
Physical Review E
Journal of Microscopy
Journal of Molecular Recognition
Journal of the Optical Society of America A
The Journal of Physical Chemistry Letters
European Biophysics Journal
Computer Science Education
British Journal of Educational Psychology
British Journal of Educational Psychology
Nature Communications
Journal of Microscopy
Nature Methods

Nature Photonics
Optics Express
Optics Express
Optics Express
Optics Express
Optics Express
Optics Letters
Optics Letters
ACM SIGCSE Bulletin
Physical Review Letters
Biophysical Journal
Proceedings of the National Academy of Sciences
Biochemical Society Transactions
New Journal of Physics
Nature Communications
Nature Communications
Nature Methods
Nature Protocols
Scientific Reports
Nature



ChemPhysChem
Nature Communications
Optical Engineering
Proceedings of the National Academy of Sciences
Optics Express
"Philosophical Transactions: Mathematical, Physical and Engineering Sciences"
Microscopy
Optics Letters
Optics Express
Nature Methods
Journal of the European Optical Society: Rapid Publications

Biomedical Optics Express
IEEE Transactions on Image Processing
Scientific Reports
Methods
Biophysical Journal
Nature
Journal of Biomedical Optics
Optics Express
Biophysical Journal
Proceedings of the National Academy of Sciences
Nature Communications
Optics Express
Optics Letters
Biomedical Optics Express
Journal of the Optical Society of America A
Journal of the Optical Society of America A
Science
Science
Biophysical Journal
Nature Methods
Optics Letters
Nature Biotechnology
Proceedings of the National Academy of Sciences
Optics Express
Journal of Microscopy
Optics Letters
Journal of Microscopy
Optics Letters

The American Statistician
The American Statistician
Optics Letters
Optics Communications
Optics Letters
Journal of Optics
Journal of Physics D: Applied Physics
Science
Nature Methods
Biophysical Journal

Optics Letters
Optics Express
Experimental Cell Research
Journal of the Optical Society of America A
Journal of the American Chemical Society
Optics Letters
Physical Review Letters
Optics Letters
Optics Letters
Journal of Microscopy


Optics Express
Optics Express
Optics Express
Methods and Applications in Fluorescence
Optics Express
Biophysical Journal
Nano Letters
Molecular Biology of the Cell
Physical Review Letters
Optics Express
Optics Express
Optica
Nature Communications
Cell Stem Cell
Nature Reviews Molecular Cell Biology

Optics Express
Photonics Research
Journal of Biological Chemistry
New Journal of Physics
Cell
Biomedical Optics Express
Optics Letters
Optics Letters
Science
Science
Optics Letters
Proceedings of the National Academy of Sciences
PLoS ONE
Politics
Nature Methods
